카드이름,카드혜택,연회비,전월실적
신한카드 Eats More(이츠모아),"전가맹점 결제금액
1천원미만 기본적립
추가적립업종 건당
최대 1,600P 추가적립
환전수수료
면제 서비스","국내전용 15,000원 / 해외겸용 18,000원",전월실적 40만원 이상
신한카드 Shopping,"온.오프라인
10% 할인
생활업종
10% 할인
마켓컬리
10% 할인","해외겸용 20,000원",전월실적 50만원 이상
신한카드 The CLASSIC-L,"캐시백형
1% 캐시백
대한항공형
1,500원/1마일 적립
아시아나항공형
1,000원/1마일 적립","해외전용 100,000원",전월실적 없음
신한카드 집,"주택임대료 최대
1만5천원 할인
통신, 인터넷, 보안업체
자동이체 할인
아파트관리비
3천원 할인","해외겸용 12,000원",전월실적 없음
11번가 신한카드,"국내외가맹점
0.5% 적립
11번가
1% 적립","국내전용5,000원 / 해외겸용 8,000원",전월실적 없음
신한카드 플리(산리오캐릭터즈),"국내 이용금액
최대 0.9% 결제일 할인
해외 이용금액
0.5% 결제일 할인
매주 1회
할인 쿠폰 제공","국내전용 15,000원 / 해외겸용 18,000원",전월실적 없음
신한카드 Simple Platinum#,"모든가맹점
1% 캐시백
생활밀착가맹점
0.7% 추가캐시백
영화
3,000원 할인","해외겸용 27,000원",전월실적 없음
신한카드 Deep Making,"DIY서비스
17% 적립
쇼핑
1~5% 적립
푸드
1~5% 적립","국내전용 30,000원 / 해외겸용 30,000원",전월실적 40만원 이상
신한카드 Love,"백화점/할인점
5% 할인
스타벅스
20% 할인
GS칼텍스
60원/L 할인","해외겸용 8,000원",전월실적 20만원 이상
신한카드 봄,"전가맹점 최대
0.5% 캐시백
대중교통 일 최대
200원 캐시백
디지털 구독 최대
10,000원 캐시백","국내전용 17,000원 / 해외겸용 20,000원",전월실적 없음
신한카드 The PREMIER GOLD EDITION (스카이패스),"1,500원당
1마일리지 적립
프리미어 호텔 서비스
연 1회 제공
골프장
연 2회 그린피 무료","해외겸용 1,900,000원",전월실적 없음
신한카드 주거래 신용,"모든가맹점
0.7% 적립
쇼핑/해외
1.3% 추가적립
생활가맹점
3.3% 추가적립","해외겸용 15,000원",전월실적 30만원 이상
신한카드 Love Platinum#,"백화점,할인점,쇼핑몰
5% 할인
GS칼텍스
60원/L 할인
영화
7천원 할인","해외겸용 50,000원",전월실적 없음
티머니 Pay & GO 신한카드,"버스, 지하철
30% 할인
고속버스, 택시
20% 할인
이동통신요금
5% 할인","국내전용 15,000원 / 해외겸용 18,000원",전월실적 30만원 이상
신한카드 Air One,"1,000원당
1마일 기본적립
면세점
1마일 추가적립
해외
1마일 추가적립","해외겸용 49,000원",전월실적 50만원 이상
신한카드 Simple+,"모든가맹점
0.7% 캐시백
이동통신요금
0.7% 추가캐시백
영화
1,500원 할인","해외겸용 10,000원",전월실적 없음
신한카드 Lesson Platinum#,"학원/학습지/독서실
5% 할인
체험/활동학습
5% 할인
서적
5% 할인","해외겸용 27,000원",전월실적 30만원 이상
카카오페이 신한카드,"카카오페이
20% 할인
쿠팡
10% 할인
스타벅스, 커피빈
10% 할인","국내전용 12,000원 / 해외겸용 15,000원",전월실적 30만원 이상
신한카드 EVerywhere,"전기차 충전요금
20~40% 캐시백
디지털 구독서비스
20% 캐시백
주차앱
5천원 캐시백","국내전용 19,000원 / 해외겸용 22,000원",전월실적 40만원 이상
신한카드 All Pass,"고속/시외버스
30~10% 할인
지하철/시내버스/택시
10% 할인
커피전문점
20% 할인","해외겸용 10,000원",전월실적 30만원 이상
신한카드 Deep Once,"렌탈 자동이체
최대 7천포인트 적립
정기월납 자동이체
최대 6천포인트 적립
디지털구독 정기결제
최대 6천포인트 적립","국내전용 20,000원 / 해외겸용 23,000원",전월실적 40만원 이상
신한카드 MY CAR,"자동차 구매금액
0.2% 캐시백
주유소
80원/L 할인
전기차 충전요금
30% 할인","국내전용 27,000원 / 해외겸용 30,000원",전월실적 40만원 이상
신한카드 알뜰More(알뜰모아),"알뜰폰요금 최대
1만5천원 할인","국내전용 20,000원 / 해외겸용 23,000원",전월실적 40만원 이상
신한카드 핏(Fit),"일상영역
최대 4만p 적립
Flex 영역
10% 기본 적립","국내전용 15,000원 / 해외겸용 18,000원",전월실적 40만원 이상
신한카드 Deep Store,"생활쇼핑가맹점
~15% 할인
커피전문점/제과점
10% 할인
복합쇼핑몰/마트
10% 주말할인","해외겸용 13,000원",전월실적 30만원 이상
신한카드 Lady,"3대백화점
5% 할인
패밀리레스토랑
20% 할인
놀이공원
30~50% 할인","해외겸용 5,000원",전월실적 30만원 이상
GS칼텍스 신한카드 Shine,"GS칼텍스
60~100원/L 할인
버스/지하철/택시
3~7% 할인
맥스무비 등
1,500원 할인","해외겸용 7,000원",전월실적 20만원 이상
신한카드 B.Big(마이펫 스노우볼 삑),"대중교통
200~600원 할인
택시
10% 할인
KTX
10% 할인","해외겸용 13,000원",전월실적 30만원 이상
신한카드 Deep Taking,"최다이용영역
2% 적립
푸드
2% 적립
생활
2% 적립","국내전용 20,000원 / 해외겸용 20,000원",전월실적 40만원 이상
신한카드 플리,"국내 이용금액
최대 0.9% 결제일 할인
해외 이용금액
0.5% 결제일 할인
매주 1회
할인 쿠폰 제공","국내전용 15,000원 / 해외겸용 18,000원",전월실적 없음
홈플러스 스페셜 신한카드,"홈플러스매장
7% 적립
홈플러스온라인몰
7% 적립
모든가맹점
0.3% 할인","국내전용 15,000원 / 해외겸용 18,000원",전월실적 50만원 이상
신세계 신한카드,"신세계백화점
5% 할인
Life Care가맹점
5% 할인
해외
5% 캐시백","해외겸용 12,000원",전월실적 50만원 이상
신한카드 Deep Once Plus,"렌탈 자동이체
최대 7천포인트 적립
디지털구독 정기결제
최대 6천포인트 적립
커피/편의점/해외이용
최대 8천포인트 적립","국내전용 27,000원 / 해외겸용 30,000원",전월실적 40만원 이상
신한카드 The PREMIER GOLD EDITION (아시아나클럽),"1,000원당
1마일리지 적립
프리미어 호텔 서비스
연 1회 제공
골프장
연 2회 그린피 무료","해외겸용 1,900,000원",전월실적 없음
마이 홈플러스 신한카드,"홈플러스포인트
1.2% 적립
생활친화가맹점
잔돈할인 서비스
YES24, 인터파크
영화예매할인 서비스","국내전용 12,000원 / 해외겸용 15,000원",전월실적 없음
